Owner Name,Card Name,Set Name,Quantity,Purchase Price
Devin,Inspiring Paladin,Foundations,1,0.03
Devin,Crystal Barricade,Foundations,1,1.56
Devin,Herald of Eternal Dawn,Foundations,1,2.17
Devin,Divine Resilience,Foundations,1,0.17
Devin,Sun-Blessed Healer,Foundations,1,0.13
Devin,Felidar Savior,Foundations,1,0.03
Devin,"Arahbo, the First Fang",Foundations,1,1.38
Devin,Vanguard Seraph,Foundations,1,0.04
Devin,Majestic Heliopterus,The Lost Caverns of Ixalan Commander,1,0.08
Devin,Kinjalli's Sunwing,The Lost Caverns of Ixalan Commander,1,0.46
Devin,Leyline Binding,Dominaria United,1,1.61
Devin,Destroy Evil,Dominaria United,1,1.35
Devin,Cleaving Skyrider,Dominaria United,1,0.02
Devin,Prayer of Binding,Foundations,1,0.49
Devin,Crumb and Get It,Bloomburrow,1,0.06
Devin,Wrath of the Skies,Modern Horizons 3,1,2.57
Devin,Fear of Surveillance,Duskmourn: House of Horror,1,0.04
Devin,Knight of the Keep,The Lord of the Rings: Tales of Middle-earth,1,0.08
Devin,Trapped in the Screen,Duskmourn: House of Horror,1,0.03
Devin,Fear of Surveillance,Duskmourn: House of Horror,1,0.03
Devin,Seized from Slumber,Duskmourn: House of Horror,1,0.02
Devin,Stagecoach Security,Outlaws of Thunder Junction,1,0.03
Devin,Inventive Wingsmith,Outlaws of Thunder Junction,2,0.03
Devin,Mystical Tether,Outlaws of Thunder Junction,1,0.03
Devin,Bovine Intervention,Outlaws of Thunder Junction,1,0.09
Devin,Bounding Felidar,Outlaws of Thunder Junction,1,0.1
Devin,Prairie Dog,Outlaws of Thunder Junction,1,0.07
Devin,Armored Armadillo,Outlaws of Thunder Junction,1,0.06
Devin,Stagecoach Security,Outlaws of Thunder Junction,1,0.02
Devin,Wanted Griffin,Outlaws of Thunder Junction,1,0.03
Devin,Resplendent Angel,The Lost Caverns of Ixalan,1,5.51
Devin,Deconstruction Hammer,The Lost Caverns of Ixalan,1,0.02
Devin,Oltec Cloud Guard,The Lost Caverns of Ixalan,1,0.02
Devin,Oltec Archaeologists,The Lost Caverns of Ixalan,1,0.02
Devin,Family Reunion,The Lost Caverns of Ixalan,1,0.03
Devin,Smuggler's Surprise,Outlaws of Thunder Junction,2,2.56
Devin,Shriekwood Devourer,Duskmourn: House of Horror Commander,1,0.5
Devin,Open the Way,March of the Machine: The Aftermath,1,5.01
Devin,Cultivate,Duskmourn: House of Horror Commander,1,0.75
Devin,Loxodon Surveyor,Aetherdrift,1,0.01
Devin,Earthrumbler,Aetherdrift,1,0.04
Devin,"Oviya, Automech Artisan",Aetherdrift,1,0.79
Devin,Broken Wings,Aetherdrift,1,0.01
Devin,Elvish Refueler,Aetherdrift,1,0.07
Devin,Alacrian Jaguar,Aetherdrift,1,0.02
Devin,Venomsac Lagac,Aetherdrift,1,0.02
Devin,District Mascot,Aetherdrift,1,0.52
Devin,Horrid Vigor,Duskmourn: House of Horror,1,0.1
Devin,Raised by Giants,Commander Legends: Battle for Baldur's Gate,1,0.18
